2016-10-14 16:40:23.824 ; TestPlan      ; Information ; "Delay" started.
2016-10-14 16:40:24.675 ; Session       ; Debug       ; Windows Version: Microsoft Windows NT 6.2.9200.0
2016-10-14 16:40:24.675 ; Session       ; Debug       ; .Net Version: CDF, v2.0.50727, v3.0, v3.5, v4, v4.0
2016-10-14 16:40:24.675 ; Session       ; Debug       ; Keysight I/O Libs Version:81.1.20011.4
2016-10-14 16:40:24.675 ; Session       ; Debug       ; Processor Name: Intel(R) Core(TM) i7-4800MQ CPU @ 2.70GHz
2016-10-14 16:40:24.839 ; TestPlan      ; Information ; "Delay" completed. [1013 ms]
2016-10-14 16:40:24.840 ; TestPlan      ; Information ; "Delay (1)" started.
2016-10-14 16:40:25.843 ; TestPlan      ; Information ; "Delay (1)" completed. [1003 ms]
2016-10-14 16:40:25.844 ; TestPlan      ; Information ; "Set Verdict" started.
2016-10-14 16:40:25.845 ; TestPlan      ; Information ; "Set Verdict" completed with verdict 'Pass'. [2 ms]
2016-10-14 16:40:25.845 ; TestPlan      ; Information ; TestPlan Run finished. [2026 ms]
2016-10-14 16:40:25.848 ; TestPlan      ; Debug       ; TestStep 'Set Verdict' PostPlanRun completed. [0 ms]
2016-10-14 16:40:25.848 ; TestPlan      ; Debug       ; TestStep 'Delay (1)' PostPlanRun completed. [0 ms]
2016-10-14 16:40:25.848 ; TestPlan      ; Debug       ; TestStep 'Delay' PostPlanRun completed. [0 ms]
2016-10-14 16:40:38.097 ; Session       ; Debug       ; Session log loaded as 'TapPythonConsole_log.txt'.
2016-10-14 16:40:38.107 ; Session       ; Debug       ; Startup session log loaded as 'TapPythonConsole_log.txt'.
2016-10-14 16:40:38.167 ; TestPlan      ; Information ; Loaded test plan from Delay-Verdict.TapPlan [63 ms]
2016-10-14 16:40:38.177 ; TestPlan      ; Information ; ------------------------------------------------
2016-10-14 16:40:38.197 ; TestPlan      ; Information ; Starting TestPlan 'Delay-Verdict.TapPlan' on 10/14/2016 4:40:38 PM, 3 of 3 TestSteps enabled.
2016-10-14 16:40:38.197 ; Settings      ; Debug       ; No settings file exists for DutSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:40:38.207 ; Settings      ; Debug       ; No settings file exists for ConnectionSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:40:38.207 ; Settings      ; Debug       ; No settings file exists for InstrumentSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:40:38.207 ; Settings      ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:40:38.207 ; Settings      ; Debug       ; No settings file exists for ResultSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:40:38.217 ; Settings      ; Debug       ; No settings file exists for GuiControlsSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:40:38.217 ; Settings      ; Debug       ; No settings file exists for GuiSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:40:38.278 ; TestPlan      ; Debug       ; TestStep Delay PrePlanRunCompleted. [0 ms]
